"jointType","x","y","z","time"
17,0.0715185255,-0.7610938,1.98189807,21
18,0.0550168566,-1.01910663,1.98848486,21
19,0.047374472,-1.05613422,1.86859155,21
20,0.0472815856,-0.0146686034,2.173965,21
21,-0.158028558,-0.5735236,1.97396028,21
22,-0.120956451,-0.5013006,1.99120688,21
23,0.28440994,-0.397401541,1.81022525,21
24,0.311043441,-0.417935848,1.83875,21
0,0.0163424034,-0.473705769,2.06276941,22
1,0.0292740557,-0.210097268,2.132009,22
2,0.0421869755,0.04651055,2.188904,22
3,0.076698266,0.171078473,2.201976,22
4,-0.10204307,-0.07364007,2.16677165,22
5,-0.156705931,-0.301553279,2.14798212,22
6,-0.184064612,-0.464252681,2.05181479,22
7,-0.172177047,-0.508371651,2.01493621,22
8,0.185770288,-0.08719588,2.15133643,22
9,0.21631752,-0.285230458,2.08590531,22
10,0.262330472,-0.364263743,1.91392875,22
11,0.27654776,-0.3770078,1.84876585,22
12,-0.0506507,-0.4613638,2.03513718,22
13,-0.06811241,-0.723326266,1.889611,22
14,-0.07031686,-1.02734137,1.98005021,22
15,-0.0738706738,-1.10456645,1.90048671,22
16,0.08280421,-0.471406519,2.02717376,22
17,0.06734798,-0.757730246,1.9830426,22
18,0.05085028,-1.02983308,1.99243927,22
19,0.0413687974,-1.06762946,1.87327969,22
20,0.03898072,-0.0167647414,2.17687559,22
21,-0.169274732,-0.5738817,1.98697317,22
22,-0.143402576,-0.503483832,1.986536,22
23,0.287968367,-0.3919301,1.81190813,22
24,0.306132376,-0.404461741,1.826286,22
0,0.0304077733,-0.4744415,2.067803,23
1,0.041024588,-0.2120926,2.138385,23
2,0.05148237,0.0438896343,2.19627666,23
3,0.09072975,0.166323915,2.2041018,23
4,-0.0872846246,-0.07609806,2.1738658,23
5,-0.147233516,-0.303666562,2.15942073,23
6,-0.175948128,-0.466470033,2.06397963,23
7,-0.173274621,-0.510051548,2.024933,23
8,0.196988,-0.0951993,2.16258216,23
9,0.220761061,-0.290985048,2.10024214,23
